match_id,home_team,away_team,home_odds,draw_odds,away_odds,total_line,over_odds,under_odds,source,updated_at
1,Mexico,South Africa,-245,+360,+750,2.5,+115,-145,ESPN API / DraftKings,2026-06-10T10:58:59.241091+00:00
2,South Korea,Czech Republic,+165,+215,+190,2.5,+125,-155,ESPN API / DraftKings,2026-06-10T10:58:59.241217+00:00
3,Canada,Bosnia and Herzegovina,-125,+270,+360,2.5,+115,-145,ESPN API / DraftKings,2026-06-10T10:58:59.241248+00:00
4,USA,Paraguay,-105,+245,+295,2.5,+130,-165,ESPN API / DraftKings,2026-06-10T10:58:59.241405+00:00
5,Australia,Turkey,+400,+280,-140,2.5,+100,-125,ESPN API / DraftKings,2026-06-10T10:58:59.241477+00:00
6,Qatar,Switzerland,+1100,+550,-425,2.5,-150,+115,ESPN API / DraftKings,2026-06-10T10:58:59.241424+00:00
7,Brazil,Morocco,-145,+275,+450,2.5,+105,-135,ESPN API / DraftKings,2026-06-10T10:58:59.241443+00:00
8,Haiti,Scotland,+500,+330,-180,2.5,-115,-115,ESPN API / DraftKings,2026-06-10T10:58:59.241460+00:00
9,Germany,Curaçao,-3500,+1600,+2800,4.5,+115,-145,ESPN API / DraftKings,2026-06-10T10:58:59.241494+00:00
10,Netherlands,Japan,+105,+240,+250,2.5,-105,-120,ESPN API / DraftKings,2026-06-10T10:58:59.241510+00:00
11,Côte d'Ivoire,Ecuador,+260,+185,+145,1.5,-165,+130,ESPN API / DraftKings,2026-06-10T10:58:59.241527+00:00
12,Sweden,Tunisia,-105,+245,+330,2.5,+125,-155,ESPN API / DraftKings,2026-06-10T10:58:59.241543+00:00
13,Spain,Cabo Verde,-1200,+1100,+2500,3.5,-110,-115,ESPN API / DraftKings,2026-06-10T10:58:59.241558+00:00
14,Belgium,Egypt,-155,+290,+400,2.5,+100,-125,ESPN API / DraftKings,2026-06-10T10:58:59.241577+00:00
15,Saudi Arabia,Uruguay,+700,+350,-230,2.5,-105,-120,ESPN API / DraftKings,2026-06-10T10:58:59.241594+00:00
16,Iran,New Zealand,-110,+245,+340,2.5,+130,-165,ESPN API / DraftKings,2026-06-10T10:58:59.241609+00:00
17,Austria,Jordan,-310,+450,+850,2.5,-155,+125,ESPN API / DraftKings,2026-06-10T10:58:59.241674+00:00
18,France,Senegal,-215,+350,+600,2.5,-105,-120,ESPN API / DraftKings,2026-06-10T10:58:59.241625+00:00
19,Iraq,Norway,+1300,+600,-475,2.5,-175,+140,ESPN API / DraftKings,2026-06-10T10:58:59.241641+00:00
20,Argentina,Algeria,-245,+360,+800,2.5,-110,-115,ESPN API / DraftKings,2026-06-10T10:58:59.241657+00:00
21,Portugal,DR Congo,-350,+475,+1000,2.5,-145,+115,ESPN API / DraftKings,2026-06-10T10:58:59.241690+00:00
22,England,Croatia,-140,+285,+380,2.5,+110,-140,ESPN API / DraftKings,2026-06-10T10:58:59.241707+00:00
23,Ghana,Panama,+110,+245,+265,2.5,+125,-160,ESPN API / DraftKings,2026-06-10T10:58:59.241722+00:00
24,Uzbekistan,Colombia,+750,+360,-240,2.5,-105,-120,ESPN API / DraftKings,2026-06-10T10:58:59.241741+00:00
25,Czech Republic,South Africa,-105,+240,+320,2.5,+125,-160,ESPN API / DraftKings,2026-06-10T10:58:59.241757+00:00
26,Switzerland,Bosnia and Herzegovina,-160,+310,+450,2.5,+105,-130,ESPN API / DraftKings,2026-06-10T10:58:59.241773+00:00
27,Canada,Qatar,-340,+450,+1000,2.5,-110,-115,ESPN API / DraftKings,2026-06-10T10:58:59.241789+00:00
28,Mexico,South Korea,-125,+265,+370,2.5,+120,-150,ESPN API / DraftKings,2026-06-10T10:58:59.241805+00:00
29,Turkey,Paraguay,+125,+220,+245,2.5,+125,-160,ESPN API / DraftKings,2026-06-10T10:58:59.241871+00:00
30,USA,Australia,-130,+295,+350,2.5,+100,-125,ESPN API / DraftKings,2026-06-10T10:58:59.241824+00:00
31,Scotland,Morocco,+320,+230,+100,2.5,+125,-160,ESPN API / DraftKings,2026-06-10T10:58:59.241840+00:00
32,Brazil,Haiti,-1200,+1200,+2500,3.5,-125,+100,ESPN API / DraftKings,2026-06-10T10:58:59.241855+00:00
33,Tunisia,Japan,+425,+270,-140,2.5,+120,-150,ESPN API / DraftKings,2026-06-10T10:58:59.241939+00:00
34,Netherlands,Sweden,-155,+320,+425,2.5,-115,-110,ESPN API / DraftKings,2026-06-10T10:58:59.241886+00:00
