team,squad_size,average_age,big_five_share,average_club_tier,goalkeeper_height,forward_count,injury_penalty,elo_adjustment
Algeria,26,26.85463065339862,0.5,1.1923076923076923,182.65384615384616,7,0.0,3.9226093766145276
Argentina,26,29.049544569051758,0.7692307692307693,1.7692307692307692,179.69230769230768,7,0.0,31.873309798110213
Australia,26,27.356710366977307,0.34615384615384615,0.8846153846153846,183.57692307692307,8,0.0,-11.369094487336723
Austria,26,28.53904069920497,0.6923076923076923,1.4615384615384615,184.69230769230768,4,0.0,19.702564905270734
Belgium,26,27.611751697993995,0.7692307692307693,1.7307692307692308,185.80769230769232,6,0.0,32.80147685958436
Bosnia and Herzegovina,26,26.419733586058022,0.4230769230769231,0.9615384615384616,187.23076923076923,7,0.0,-7.2091924317810125
Brazil,26,29.360290633391248,0.5384615384615384,1.4615384615384615,183.1153846153846,9,0.0,12.25404453057206
Canada,26,26.930974569578265,0.4230769230769231,1.1923076923076923,182.07692307692307,6,0.0,0.928802514174367
Cape Verde,26,29.673669246564522,0.038461538461538464,0.5769230769230769,181.34615384615384,3,0.0,-36.676132815388016
Colombia,26,30.086558205654715,0.34615384615384615,1.1923076923076923,180.0,6,0.0,-5.205819385384731
Croatia,26,28.326014847575422,0.6923076923076923,1.5384615384615385,184.76923076923077,6,0.0,22.479148172940064
Curaçao,26,28.01821723792976,0.11538461538461539,0.9615384615384616,181.92307692307693,8,0.0,-18.799409614601206
Czech Republic,26,27.618069815195074,0.2692307692307692,0.6153846153846154,185.73076923076923,7,0.0,-23.03924321309244
DR Congo,26,29.06597167377455,0.5,1.1153846153846154,181.0,7,0.0,0.08466139562977215
Ecuador,26,26.074869688832727,0.2692307692307692,1.0,180.53846153846155,7,0.0,-12.714611505925712
Egypt,26,29.056178592112886,0.19230769230769232,0.4230769230769231,181.19230769230768,7,0.0,-34.4473403407413
England,26,27.141367872374033,0.9615384615384616,1.9615384615384615,184.23076923076923,7,0.0,47.57309652758548
France,26,26.998262517769703,0.9230769230769231,1.9230769230769231,184.92307692307693,7,0.0,44.575754882211676
Germany,26,28.044016216500815,0.9615384615384616,1.9615384615384615,186.19230769230768,4,0.0,47.29502039427321
Ghana,26,26.972463539198653,0.6538461538461539,1.3846153846153846,182.6153846153846,8,0.0,16.458615404296353
Haiti,26,27.57510661822777,0.3076923076923077,1.0,181.3846153846154,9,0.0,-9.135414598161644
Iran,26,30.329805717896065,0.0,0.07692307692307693,183.65384615384616,6,0.0,-55.0
Iraq,26,26.91202021797504,0.07692307692307693,0.2692307692307692,183.03846153846155,7,0.0,-42.57161521112388
Ivory Coast,26,25.8462591481072,0.46153846153846156,1.3846153846153846,182.92307692307693,9,0.0,6.998501975885102
Japan,26,27.747696519770443,0.5,1.3076923076923077,181.34615384615384,4,0.0,8.204685352198446
Jordan,26,28.462802084978673,0.038461538461538464,0.11538461538461539,180.30769230769232,6,0.0,-49.60209901435926
Mexico,26,27.89796240720265,0.19230769230769232,0.5384615384615384,179.5,8,0.0,-29.024449328038443
Morocco,26,26.391828568419946,0.6153846153846154,1.4230769230769231,182.65384615384616,5,0.0,15.262023824885983
Netherlands,26,27.771705365134526,0.8461538461538461,1.8461538461538463,185.15384615384616,7,0.0,39.35543583092069
New Zealand,26,28.11520033696625,0.2692307692307692,0.6538461538461539,183.46153846153845,4,0.0,-22.556416750636707
Norway,26,26.801453166956247,0.7307692307692307,1.5384615384615385,187.15384615384616,5,0.0,24.224511563092385
Panama,26,30.42384036223872,0.038461538461538464,0.23076923076923078,181.57692307692307,4,0.0,-48.85808969491183
Paraguay,26,28.999842047069972,0.19230769230769232,0.9615384615384616,181.6153846153846,6,0.0,-17.163524091601893
Portugal,26,28.032538303585532,0.6538461538461539,1.6538461538461537,181.5,8,0.0,25.05076835590759
Qatar,26,29.504975517295843,0.038461538461538464,0.07692307692307693,179.3846153846154,9,0.0,-52.393881407947525
Saudi Arabia,26,28.51334702258727,0.038461538461538464,1.0384615384615385,178.42307692307693,7,0.0,-20.193382538072086
Scotland,26,29.199705154530616,0.5769230769230769,1.1923076923076923,184.46153846153845,7,0.0,5.449428401430303
Senegal,26,27.084504817564365,0.7692307692307693,1.7307692307692308,183.96153846153845,8,0.0,32.3458616329219
South Africa,26,26.8056652450903,0.07692307692307693,0.2692307692307692,178.84615384615384,8,0.0,-42.73114767045099
South Korea,26,28.062970568104035,0.2692307692307692,0.6538461538461539,181.92307692307693,3,0.0,-22.478072097343382
Spain,26,26.74469541409993,1.0,2.0,181.73076923076923,8,0.0,49.76077145364165
Sweden,26,27.554362133417573,0.6538461538461539,1.4615384615384615,186.19230769230768,5,0.0,19.625421385597015
Switzerland,26,28.30432264518507,0.9230769230769231,1.8461538461538463,185.23076923076923,7,0.0,41.664832647554505
Tunisia,26,26.641920707629126,0.34615384615384615,0.7692307692307693,184.57692307692307,5,0.0,-16.1268457116965
Turkey,26,27.669457168430476,0.34615384615384615,1.3461538461538463,183.76923076923077,9,0.0,3.3339211509016424
United States,26,26.90222713631338,0.5384615384615384,1.4230769230769231,183.3846153846154,7,0.0,12.9192989400165
Uruguay,26,28.739535618385723,0.3076923076923077,1.1153846153846154,180.46153846153845,5,0.0,-7.196491363061062
Uzbekistan,26,28.508924340546518,0.038461538461538464,0.15384615384615385,181.80769230769232,3,0.0,-48.44276015259853
